Column1;Column2;Column3;Column4
1;"""";O;1
1;Wingardium;B-SPELL;1
1;Leviosa;I-SPELL;1
1;!;O;1
1;"""";O;1
1;he;O;1
1;shouted;O;1
1;,;O;1
1;waving;O;1
1;his;O;1
1;long;O;1
1;arms;O;1
1;like;O;1
1;a;O;1
1;windwill;O;1
2;"""";O;2
2;It;O;2
2;APOS;O;2
2;Wing;B-SPELL;2
2;-;O;2
2;gar;I-SPELL;2
2;-;O;2
2;dium;I-SPELL;2
2;Levi;B-SPELL;2
2;-;O;2
2;o;I-SPELL;2
2;-;O;2
2;sa;I-SPELL;2
2;,;O;2
2;make;O;2
2;the;O;2
2;"""";O;2
2;gar;I-SPELL;2
2;"""";O;2
2;nice;O;2
2;and;O;2
2;long;O;2
2;".""";O;2
3;They;O;3
3;tugged;O;3
3;and;O;3
3;heaved;O;3
3;at ;O;3
3;the;O;3
3;door;O;3
3;,;O;3
3;but;O;3
3;it;O;3
3;wouldn;O;3
3;APOS;O;3
3;t;O;3
3;budge;O;3
3;,;O;3
3;not;O;3
3;even;O;3
3;when;O;3
3;Hermione;B-PER;3
3;tried;O;3
3;her;O;3
3;Alohomora;B-SPELL;3
3;charm;O;3
3;.;O;3
4;She;O;4
4;grabbed;O;4
4;Harry;B-PER;4
4;APOS;O;4
4;s;O;4
4;wand;B-ARTIFACT;4
4;,;O;4
4;tapped;O;4
4;the;O;4
4;lock;O;4
4;,;O;4
4;and;O;4
4;whispered;O;4
4;,;O;4
4;"""";O;4
4;Alohomora;B-SPELL;4
4;!;O;4
4;"""";O;4
5;"""";O;5
5;Lumos;B-SPELL;5
5;!;O;5
5;"""";O;5
5;Harry;B-PER;5
5;muttered;O;5
5;to ;O;5
5;his;O;5
5;wand;B-ARTIFACT;5
5;and;O;5
5;it;O;5
5;lit;O;5
5;again;O;5
5;.;O;5
6;Harry;B-PER;6
6;took;O;6
6;out;O;6
6;his;O;6
6;wand;B-ARTIFACT;6
6;,;O;6
6;murmured;O;6
6;,;O;6
6;"""";O;6
6;Lumos;B-SPELL;6
6;!;O;6
6;"""";O;6
6;and;O;6
6;a;O;6
6;tiny;O;6
6;light;O;6
6;appeared;O;6
6;at ;O;6
6;the;O;6
6;end;O;6
6;of;O;6
6;it;O;6
6;,;O;6
6;just;O;6
6;enough;O;6
6;to ;O;6
6;let;O;6
6;them;O;6
6;watch;O;6
6;the;O;6
6;path;O;6
6;for;O;6
6;232;O;6
6;signs;O;6
6;of;O;6
6;spiders;O;6
6;.;O;6
7;Snape;B-PER;7
7;cried;O;7
7;:;O;7
7;"""";O;7
7;Expelliarmus;B-SPELL;7
7;!;O;7
7;"""";O;7
8;He;O;8
8;pulled;O;8
8;out;O;8
8;his;O;8
8;wand;B-ARTIFACT;8
8;and;O;8
8;shouted;O;8
8;,;O;8
8;"""";O;8
8;Expelliarmus;B-SPELL;8
8;!;O;8
8;"""";O;8
8;and;O;8
8;just;O;8
8;as;O;8
8;Snape;B-PER;8
8;had;O;8
8;disarmed;O;8
8;Lockhart;B-PER;8
8;,;O;8
8;so;O;8
8;Malfoy;B-PER;8
8;found;O;8
8;the;O;8
8;diary;O;8
8;shooting;O;8
8;out;O;8
8;of;O;8
8;his;O;8
8;hand;O;8
8;into ;O;8
8;the;O;8
8;air;O;8
8;.;O;8
9;Lockhart;B-PER;9
9;had;O;9
9;barely;O;9
9;raised;O;9
9;his;O;9
9;,;O;9
9;when;O;9
9;Harry;B-PER;9
9;bellowed;O;9
9;,;O;9
9;"""";O;9
9;Expelliarmus;B-SPELL;9
9;!;O;9
9;"""";O;9
10;He;O;10
10;raised;O;10
10;Ron;B-PER;10
10;APOS;O;10
10;s;O;10
10;Spellotaped;O;10
10;wand;B-ARTIFACT;10
10;high;O;10
10;over;O;10
10;his;O;10
10;head;O;10
10;and;O;10
10;yelled;O;10
10;,;O;10
10;"""";O;10
10;Obliviate;B-SPELL;10
10;!;O;10
10;"""";O;10
11;Harry;B-PER;11
11;pointed;O;11
11;his;O;11
11;wand;B-ARTIFACT;11
11;straight;O;11
11;at ;O;11
11;Malfoy;B-PER;11
11;and;O;11
11;shouted;O;11
11;,;O;11
11;"""";O;11
11;Rictusembra;B-SPELL;11
11;!;O;11
11;"""";O;11
12;Malfoy;B-PER;12
12;raised;O;12
12;his;O;12
12;wand;B-ARTIFACT;12
12;quickly;O;12
12;and;O;12
12;bellowed;O;12
12;,;O;12
12;"""";O;12
12;Serpensortia;B-SPELL;12
12;!;O;12
12;"""";O;12
13;She;O;13
13;tapped;O;13
13;the;O;13
13;diary;O;13
13;three;O;13
13;times;O;13
13;and;O;13
13;said;O;13
13;,;O;13
13;"""";O;13
13;Aparecium;B-SPELL;13
13;!;O;13
13;"""";O;13
14;"""";O;14
14;Expecto;B-SPELL;14
14;patronum;I-SPELL;14
14;,;O;14
14;"""";O;14
14;Harry;B-PER;14
14;repeated;O;14
14;under;O;14
14;his;O;14
14;breath;O;14
14;,;O;14
14;"""";O;14
14;expecto;B-SPELL;14
14;patronum;I-SPELL;14
14;.;O;14
14;"""";O;14
15;A;O;15
15;wave;O;15
15;of;O;15
15;piercing;O;15
15;cold;O;15
15;broke;O;15
15;over;O;15
15;him;O;15
15;-;O;15
15;-;O;15
15;"""";O;15
15;Expecto;B-SPELL;15
15;patronum;I-SPELL;15
15;!;O;15
15;"""";O;15
15;Harry;B-PER;15
15;yelled;O;15
15;.;O;15
16;"""";O;16
16;EXPECTO;B-SPELL;16
16;PATRONUM;I-SPELL;16
16;!;O;16
16;"""";O;16
16;Harry;B-PER;16
16;bellowed;O;16
16;.;O;16
17;Plunging;O;17
17;a;O;17
17;hand;O;17
17;down;O;17
17;the;O;17
17;neck;O;17
17;of;O;17
17;his;O;17
17;robes;O;17
17;,;O;17
17;he;O;17
17;whipped;O;17
17;out;O;17
17;his;O;17
17;wand;B-ARTIFACT;17
17;and;O;17
17;roared;O;17
17;,;O;17
17;"""";O;17
17;Expecto;B-SPELL;17
17;patronum;I-SPELL;17
17;!;O;17
17;"""";O;17
18;"""";O;18
18;EXPECTO;B-SPELL;18
18;PATRONUM;I-SPELL;18
18;!;O;18
18;"""";O;18
18;Harry;B-PER;18
18;yelled;O;18
18;,;O;18
18;trying;O;18
18;to blot;O;18
18;the ;O;18
18;screaming;O;18
18;from;O;18
18;his;O;18
18;ears;O;18
18;.;O;18
19;He;O;19
19;hurried;O;19
19;over;O;19
19;to blot;O;19
19;Ron;B-PER;19
19;,;O;19
19;bent;O;19
19;down;O;19
19;,;O;19
19;tapped;O;19
19;Ron;B-PER;19
19;;O;19
19;s;O;19
19;leg;O;19
19;with;O;19
19;his;O;19
19;wand;B-ARTIFACT;19
19;,;O;19
19;and;O;19
19;muttered;O;19
19;,;O;19
19;"""";O;19
19;Ferula;B-SPELL;19
19;.;O;19
19;"""";O;19
20;"""";O;20
20;Riddikulus;B-SPELL;20
20;!;O;20
20;"""";O;20
20;roared;O;20
20;Lupin;B-PER;20
20;,;O;20
20;springing;O;20
20;forward;O;20
20;.;O;20
21;Then;O;21
21;they;O;21
21;saw;O;21
21;a;O;21
21;silvery;O;21
21;-;O;21
21;white;O;21
21;orb;B-ARTIFACT;21
21;hanging;O;21
21;into ;O;21
21;the;O;21
21;air;O;21
21;into ;O;21
21;front;O;21
21;of;O;21
21;Lupin;B-PER;21
21;,;O;21
21;who;O;21
21;said;O;21
21;,;O;21
21;"""";O;21
21;Riddikulus;B-SPELL;21
21;!;O;21
21;"""";O;21
21;almost;O;21
21;lazily;O;21
21;.;O;21
22;Somewhere;O;22
22;above;O;22
22;him;O;22
22;,;O;22
22;Hermione;B-PER;22
22;whispered;O;22
22;,;O;22
22;Mobiliarbus;B-SPELL;22
22;!;O;22
22;"""";O;22
23;"""";O;23
23;Nox;B-SPELL;23
23;,;O;23
23;"""";O;23
23;they;O;23
23;whispered;O;23
23;together;O;23
23;,;O;23
23;and;O;23
23;the;O;23
23;lights;O;23
23;at ;O;23
23;the;O;23
23;end;O;23
23;of;O;23
23;their;O;23
23;wands;B-ARTIFACT;23
23;went;O;23
23;out;O;23
23;.;O;23
24;Harry;B-PER;24
24;groped;O;24
24;forward;O;24
24;his;O;24
24;wand;B-ARTIFACT;24
24;,;O;24
24;blinking;O;24
24;blood;O;24
24;out;O;24
24;of;O;24
24;his;O;24
24;eyes;O;24
24;"""";O;24
24;Lumos;B-SPELL;24
24;!;O;24
24;"""";O;24
24;he;O;24
24;whispered;O;24
24;.;O;24
25;"""";O;25
25;Expelliarmus;B-SPELL;25
25;!;O;25
25;"""";O;25
25;he;O;25
25;croaked;O;25
25;,;O;25
25;pointing;O;25
25;Ron;B-PER;25
25;APOS;O;25
25;s;O;25
25;wand;B-ARTIFACT;25
25;at ;O;25
25;them;O;25
25;.;O;25
26;They;O;26
26;APOS;O;26
26;re;O;26
26;deep;O;26
26;,;O;26
26;mind;O;26
26;,;O;26
26;centaurs;B-CREATURE;26
26;.;O;26
26;.;O;26
26;.;O;26
26;they;O;26
26;know;O;26
26;things;O;26
26;.;O;26
26;.;O;26
26;.;O;26
26;jus;O;26
26;APOS;O;26
26;don;O;26
26;APOS;O;26
26;let;O;26
26;on;O;26
26;much;O;26
27;Centaurs;B-CREATURE;27
27;are;O;27
27;concerned;O;27
27;with;O;27
27;what;O;27
27;has;O;27
27;been;O;27
27;foretold;O;27
27;!;O;27
28;Harry;B-PER;28
28;watched;O;28
28;the;O;28
28;goblin;B-CREATURE;28
28;on;O;28
28;their;O;28
28;right;O;28
28;weighting;O;28
28;a;O;28
28;pile;O;28
28;of;O;28
28;rubies;O;28
28;as;O;28
28;big;O;28
28;as;O;28
28;glowing;O;28
28;coals;O;28
28;.;O;28
29;"""";O;29
29;If;O;29
29;anyone;O;29
29;but;O;29
29;a;O;29
29;Gringotts;B-LOC;29
29;goblin;B-CREATURE;29
29;tried;O;29
29;that;O;29
29;,;O;29
29;they;O;29
29;APOS;O;29
29;d;O;29
29;be;O;29
29;sucked;O;29
29;through;O;29
29;the;O;29
29;door;O;29
29;and;O;29
29;trapped;O;29
29;in;O;29
29;there;O;29
29;,;O;29
29;"""";O;29
29;said;O;29
29;Griphook;B-PER;29
29;.;O;29
30;Never;O;30
30;mess;O;30
30;with;O;30
30;goblins;B-CREATURE;30
30;,;O;30
30;Harry;B-PER;30
30;.;O;30
31;While;O;31
31;Hagrid;B-PER;31
31;asked;O;31
31;the;O;31
31;man;O;31
31;behind;O;31
31;the;O;31
31;counter;O;31
31;for;O;31
31;a;O;31
31;supply;O;31
31;of;O;31
31;some ;O;31
31;basic;O;31
31;potion;B-ARTIFACT;31
31;ingredients;O;31
31;for;O;31
31;Harry;B-PER;31
31;,;O;31
31;Harry;B-PER;31
31;himself;O;31
31;examined;O;31
31;silvery;O;31
31;unicorn;B-CREATURE;31
31;horns;O;31
31;at ;O;31
31;twenty;O;31
31;-;O;31
31;one;O;31
31;Galleons;O;31
31;each;O;31
31;.;O;31
32;We;O;32
32;use;O;32
32;unicorn;B-CREATURE;32
32;hairs;O;32
32;,;O;32
32;phoenix;B-CREATURE;32
32;tail;O;32
32;feathers;O;32
32;,;O;32
32;and;O;32
32;the;O;32
32;heartstrings;O;32
32;of;O;32
32;dragons;B-CREATURE;32
32;.;O;32
33;"""";O;33
33;Could;O;33
33;a;O;33
33;werewolf;B-CREATURE;33
33;be;O;33
33;killing;O;33
33;the;O;33
33;unicorns;B-CREATURE;33
33;?;O;33
33;"""";O;33
33;Harry;B-PER;33
33;asked;O;33
33;.;O;33
34;Would;O;34
34;she;O;34
34;recognize;O;34
34;a;O;34
34;dragons;B-CREATURE;34
34;bite;O;34
34;?;O;34
35;I;O;35
35;tell;O;35
35;you;O;35
35;,;O;35
35;that;O;35
35;dragon;B-CREATURE;35
35;APOS;O;35
35;s;O;35
35;the;O;35
35;most;O;35
35;horrible;O;35
35;creature;O;35
35;I;O;35
35;;O;35
35;ve;O;35
35;ever;O;35
35;met;O;35
35;,;O;35
35;but;O;35
35;the;O;35
35;way;O;35
35;Hagrid;B-PER;35
35;goes;O;35
35;on;O;35
35;about;O;35
35;it;O;35
35;,;O;35
35;you;O;35
35;;O;35
35;d;O;35
35;think;O;35
35;it;O;35
35;was;O;35
35;a;O;35
35;fluffy;O;35
35;little;O;35
35;bunny;O;35
35;rabbit;O;35
35;.;O;35
36;He;O;36
36;remembered;O;36
36;the;O;36
36;dragons;B-CREATURE;36
36;said;O;36
36;to;O;36
36;be;O;36
36;guarding;O;36
36;vaults;O;36
36;in;O;36
36;the;O;36
36;wizards;O;36
36;APOS;O;36
36;bank;O;36
36;.;O;36
37;The;O;37
37;pixies;B-CREATURE;37
37;were;O;37
37;electric;O;37
37;blue;O;37
37;and;O;37
37;about;O;37
37;eight;O;37
37;inches;O;37
37;high;O;37
37;,;O;37
37;with;O;37
37;pointed;O;37
37;faces;O;37
37;and;O;37
37;voices;O;37
37;so;O;37
37;shrill;O;37
37;it;O;37
37;was;O;37
37;like;O;37
37;listening;O;37
37;to;O;37
37;a;O;37
37;lot;O;37
37;of;O;37
37;budgies;O;37
37;arguing;O;37
37;.;O;37
38;The;O;38
38;pixies;B-CREATURE;38
38;shot;O;38
38;in;O;38
38;every;O;38
38;direction;O;38
38;like;O;38
38;rockets;O;38
38;.;O;38
39;One;O;39
39;of;O;39
39;the;O;39
39;pixies;B-CREATURE;39
39;seized;O;39
39;his;O;39
39;wand;B-ARTIFACT;39
39;and;O;39
39;threw;O;39
39;it;O;39
39;out;O;39
39;the;O;39
39;window;O;39
39;,;O;39
39;too;O;39
39;.;O;39
40;Out;O;40
40;of;O;40
40;the;O;40
40;many;O;40
40;fearsome;O;40
40;beasts;O;40
40;and;O;40
40;monsters;O;40
40;that;O;40
40;roam;O;40
40;our;O;40
40;land;O;40
40;,;O;40
40;there;O;40
40;is;O;40
40;none;O;40
40;more;O;40
40;curious;O;40
40;or;O;40
40;more;O;40
40;deadly;O;40
40;than;O;40
40;the;O;40
40;Basilisk;B-CREATURE;40
40;,;O;40
40;known;O;40
40;also;O;40
40;asked;O;40
40;the;O;40
40;King;O;40
40;of;O;40
40;Serpents;O;40
40;.;O;40
41;The;O;41
41;Basilisk;B-CREATURE;41
41;has;O;41
41;a;O;41
41;murderous;O;41
41;stare;O;41
41;,;O;41
41;and;O;41
41;all;O;41
41;who;O;41
41;are;O;41
41;fixed;O;41
41;with;O;41
41;the;O;41
41;beam;O;41
41;of;O;41
41;its;O;41
41;eye;O;41
41;shall;O;41
41;suffer;O;41
41;instant;O;41
41;death;O;41
41;.;O;41
42;Could;O;42
42;the;O;42
42;basilisk;B-CREATURE;42
42;be;O;42
42;lurking;O;42
42;in;O;42
42;a;O;42
42;shadowy;O;42
42;corner;O;42
42;,;O;42
42;behind;O;42
42;a;O;42
42;pillar;O;42
42;?;O;42
43;The;O;43
43;basilisk;B-CREATURE;43
43;was;O;43
43;snapping;O;43
43;furiously;O;43
43;at;O;43
43;him;O;43
43;with;O;43
43;fangs;O;43
43;long;O;43
43;and;O;43
43;think;O;43
43;asked;O;43
43;sabers;O;43
43;.;O;43
44;Phoenixes;B-CREATURE;44
44;burst;O;44
44;into;O;44
44;flame;O;44
44;when;O;44
44;it;O;44
44;is;O;44
44;time;O;44
44;for;O;44
44;them;O;44
44;to;O;44
44;die;O;44
44;and;O;44
44;are;O;44
44;reborn;O;44
44;from;O;44
44;the;O;44
44;ashes;O;44
44;.;O;44
45;It;O;45
45;is;O;45
45;very;O;45
45;painful;O;45
45;to;O;45
45;turn;O;45
45;into;O;45
45;a;O;45
45;werewolf;B-CREATURE;45
45;.;O;45
46;As;O;46
46;the;O;46
46;werewolf;B-CREATURE;46
46;reared;O;46
46;,;O;46
46;snapping;O;46
46;its;O;46
46;long;O;46
46;jaws;O;46
46;,;O;46
46;Sirius;B-PER;46
46;disappeared;O;46
46;from;O;46
46;Harry;B-PER;46
46;APOS;O;46
46;s;O;46
46;side;O;46
46;.;O;46
47;I;O;47
47;thought;O;47
47;a;O;47
47;Patronus;B-SPELL;47
47;would;O;47
47;charge;O;47
47;the;O;47
47;dementors;B-CREATURE;47
47;down;O;47
47;or;O;47
47;something;O;47
47;.;O;47
48;The;O;48
48;dementors;B-CREATURE;48
48;glided;O;48
48;forward;O;48
48;,;O;48
48;drawing;O;48
48;its;O;48
48;breath;O;48
48;";";O;48
48;one;O;48
48;rotting;O;48
48;hand;O;48
48;was;O;48
48;extending;O;48
48;toward;O;48
48;Harry;B-PER;48
48;"""";O;48
48;Expecto;B-SPELL;48
48;patronum;I-SPELL;48
48;!;O;48
48;"""";O;48
48;Harry;B-PER;48
48;yelled;O;48
48;.;O;48
49;The;O;49
49;dementors;B-CREATURE;49
49;stepped;O;49
49;from;O;49
49;the;O;49
49;box;O;49
49;and;O;49
49;started;O;49
49;to;O;49
49;sweep;O;49
49;silently;O;49
49;toward;O;49
49;Harry;B-PER;49
49;,;O;49
49;drawing;O;49
49;a;O;49
49;deep;O;49
49;,;O;49
49;rattling;O;49
49;breath;O;49
49;.;O;49
50;"""";O;50
50;I;O;50
50;assumed;O;50
50;that;O;50
50;if;O;50
50;the;O;50
50;boggart;B-CREATURE;50
50;faced;O;50
50;you;O;50
50;,;O;50
50;it;O;50
50;would;O;50
50;assume;O;50
50;the;O;50
50;shape;O;50
50;of;O;50
50;Lord;B-PER;50
50;Voldemort;I-PER;50
50;.;O;50
50;"""";O;50
51;There;O;51
51;APOS;O;51
51;s;O;51
51;nothing;O;51
51;hidden;O;51
51;in;O;51
51;your;O;51
51;head;O;51
51;The;O;51
51;Sorting;B-ARTIFACT;51
51;Hat;I-ARTIFACT;51
51;can;O;51
51;APOS;O;51
51;t;O;51
51;see;O;51
51;,;O;51
51;So;O;51
51;try;O;51
51;me;O;51
51;on;O;51
51;and;O;51
51;I;O;51
51;will;O;51
51;tell;O;51
51;you;O;51
51;Where;O;51
51;you;O;51
51;ought;O;51
51;to;O;51
51;be;O;51
51;.;O;51
52;"""";O;52
52;The;O;52
52;Sorting;B-ARTIFACT;52
52;Hat;I-ARTIFACT;52
52;chose;O;52
52;you;O;52
52;for;O;52
52;Gryffindor;O;52
52;,;O;52
52;didn;O;52
52;APOS;O;52
52;t;O;52
52;it;O;52
52;?;O;52
53;"""";O;53
53;Now;O;53
53;,;O;53
53;can;O;53
53;you;O;53
53;think;O;53
53;what;O;53
53;the;O;53
53;Mirror;B-ARTIFACT;53
53;of;I-ARTIFACT;53
53;Erised;I-ARTIFACT;53
53;shows;O;53
53;us;O;53
53;all;O;53
53;?;O;53
53;"""";O;53
54;"""";O;54
54;You;O;54
54;,;O;54
54;like;O;54
54;hundreds;O;54
54;before;O;54
54;you;O;54
54;,;O;54
54;have;O;54
54;discovered;O;54
54;the;O;54
54;delight;O;54
54;of;O;54
54;the;O;54
54;Mirror;B-ARTIFACT;54
54;of;I-ARTIFACT;54
54;Erised;I-ARTIFACT;54
54;.;O;54
54;"""";O;54
55;"""";O;55
55;It;O;55
55;APOS;O;55
55;s;O;55
55;an;O;55
55;invisibility;B-ARTIFACT;55
55;cloak;I-ARTIFACT;55
55;,;O;55
55;"""";O;55
55;said;O;55
55;Ron;B-PER;55
55;,;O;55
55;a;O;55
55;look;O;55
55;of;O;55
55;awe;O;55
55;on;O;55
55;his;O;55
55;face;O;55
55;.;O;55
56;He;O;56
56;set;O;56
56;off;O;56
56;,;O;56
56;drawing;O;56
56;the;O;56
56;invisibility;B-ARTIFACT;56
56;cloak;I-ARTIFACT;56
56;tight;O;56
56;around;O;56
56;him;O;56
56;as;O;56
56;he;O;56
56;walked;O;56
56;.;O;56
57;"""";O;57
57;I;O;57
57;APOS;O;57
57;ll;O;57
57;use;O;57
57;the;O;57
57;invisibility;B-ARTIFACT;57
57;cloak;I-ARTIFACT;57
57;,;O;57
57;"""";O;57
57;said;O;57
57;Harry;B-PER;57
57;.;O;57
58;"""";O;58
58;Nicolas;B-PER;58
58;Flamel;I-PER;58
58;,;O;58
58;"""";O;58
58;she;O;58
58;whispered;O;58
58;dramatically;O;58
58;,;O;58
58;"""";O;58
58;is;O;58
58;the;O;58
58;only;O;58
58;known;O;58
58;maker;O;58
58;of;O;58
58;the;O;58
58;Sorcerer;B-ARTIFACT;58
58;APOS;O;58
58;s;O;58
58;Stone;I-ARTIFACT;58
58;!;O;58
58;"""";O;58
59;The;O;59
59;ancient;O;59
59;study;O;59
59;of;O;59
59;alchemy;O;59
59;is;O;59
59;concerned;O;59
59;with;O;59
59;making;O;59
59;the;O;59
59;Sorcerer;B-ARTIFACT;59
59;APOS;O;59
59;s;O;59
59;Stone;I-ARTIFACT;59
59;,;O;59
59;a;O;59
59;legendary;O;59
59;substance;O;59
59;with;O;59
59;astonishing;O;59
59;powers;O;59
59;.;O;59
60;His;O;60
60;face;O;60
60;fell;O;60
60;,;O;60
60;because;O;60
60;the;O;60
60;Remembrall;B-ARTIFACT;60
60;had;O;60
60;suddenly;O;60
60;glowed;O;60
60;scarlet;O;60
60;,;O;60
60;"""";O;60
60;You;O;60
60;APOS;O;60
60;ve;O;60
60;forgotten;O;60
60;something;O;60
60;.;O;60
60;.;O;60
60;.;O;60
60;"""";O;60
61;Moony;B-PER;61
61;,;O;61
61;Wormtail;B-PER;61
61;,;O;61
61;Padfoot;B-PER;61
61;,;O;61
61;and;O;61
61;Prongs;B-PER;61
61;Purveyors;I-PER;61
61;of;O;61
61;Aids;O;61
61;to;O;61
61;Magical;O;61
61;Mischief;O;61
61;-;O;61
61;Makers;O;61
61;are;O;61
61;proud;O;61
61;to;O;61
61;present;O;61
61;THE;O;61
61;MARAUDER;B-ARTIFACT;61
61;APOS;O;61
61;S;O;61
61;MAP;I-ARTIFACT;61
61;,;O;61
61;it;O;61
61;was;O;61
61;a;O;61
61;map;O;61
61;showing;O;61
61;every;O;61
61;detail;O;61
61;of;O;61
61;the;O;61
61;Hogwarts;B-LOC;61
61;castle;O;61
61;and;O;61
61;grounds;O;61
61;.;O;61
62;He;O;62
62;dropped;O;62
62;his;O;62
62;voice;O;62
62;so;O;62
62;that;O;62
62;none;O;62
62;of;O;62
62;the;O;62
62;sixth;O;62
62;years;O;62
62;could;O;62
62;hear;O;62
62;him;O;62
62;and;O;62
62;told;O;62
62;them;O;62
62;all;O;62
62;about;O;62
62;the;O;62
62;Marauder;B-ARTIFACT;62
62;APOS;O;62
62;s;O;62
62;Map;I-ARTIFACT;62
62;.;O;62
63;On;O;63
63;Saturday;O;63
63;morning;O;63
63;,;O;63
63;Harry;B-PER;63
63;packed;O;63
63;his;O;63
63;invisibility;B-ARTIFACT;63
63;Cloak;I-ARTIFACT;63
63;in;O;63
63;his;O;63
63;bag;O;63
63;,;O;63
63;slipped;O;63
63;the;O;63
63;Marauder;B-ARTIFACT;63
63;APOS;O;63
63;s;O;63
63;Map;I-ARTIFACT;63
63;into;O;63
63;his;O;63
63;pocket;O;63
63;,;O;63
63;and;O;63
63;went;O;63
63;down;O;63
63;to;O;63
63;breakfast;O;63
63;with;O;63
63;everyone;O;63
63;else;O;63
63;.;O;63
64;"""";O;64
64;The;O;64
64;point;O;64
64;is;O;64
64;,;O;64
64;even;O;64
64;if;O;64
64;you;O;64
64;APOS;O;64
64;re;O;64
64;wearing;O;64
64;an;O;64
64;invisibility;B-ARTIFACT;64
64;Cloak;I-ARTIFACT;64
64;,;O;64
64;you;O;64
64;still;O;64
64;showing;O;64
64;up;O;64
64;on;O;64
64;the;O;64
64;Marauder;B-ARTIFACT;64
64;APOS;O;64
64;s;O;64
64;Map;I-ARTIFACT;64
64;.;O;64
65;The;O;65
65;Sneakoscope;B-ARTIFACT;65
65;whirled;O;65
65;and;O;65
65;whistled;O;65
65;in;O;65
65;his;O;65
65;palm;O;65
65;.;O;65
66;This;O;66
66;is;O;66
66;a;O;66
66;Pocket;B-ARTIFACT;66
66;Sneakoscope;I-ARTIFACT;66
66;,;O;66
66;if;O;66
66;there;O;66
66;APOS;O;66
66;s;O;66
66;someone;O;66
66;untrustworthy;O;66
66;around;O;66
66;,;O;66
66;it;O;66
66;APOS;O;66
66;s;O;66
66;supposed;O;66
66;to;O;66
66;light;O;66
66;up;O;66
66;and;O;66
66;spin;O;66
66;.;O;66
67;"""";O;67
67;The;O;67
67;Monster;B-ARTIFACT;67
67;Book;I-ARTIFACT;67
67;of;I-ARTIFACT;67
67;Monsters;I-ARTIFACT;67
67;was;O;67
67;listed;O;67
67;as;O;67
67;the;O;67
67;required;O;67
67;book;O;67
67;for;O;67
67;Care;O;67
67;of;O;67
67;Magical;O;67
67;Creatures;O;67
67;.;O;67
68;A;O;68
68;loud;O;68
68;ripping;O;68
68;noise;O;68
68;rent;O;68
68;the;O;68
68;air;O;68
68;";";O;68
68;two;O;68
68;of;O;68
68;The;O;68
68;Monster;B-ARTIFACT;68
68;Books;I-ARTIFACT;68
68;had;O;68
68;seized;O;68
68;a;O;68
68;third;O;68
68;and;O;68
68;were;O;68
68;pulling;O;68
68;it;O;68
68;apart;O;68
